"cliente","servicio","sitio","idSitio","unc","descr","partId","qty","price","unr","unrId","months","rent","folio","phase"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PLAZA ANAHUAC MONTERREY",,"UNC.CUAD60.907.1",,32272773,7,0.01,"UNR.CUAD60.907.1",32272774,60,,"A10171383","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PLAZA SINFONÍA",,"UNC.CUAD60.901.1",,32272061,1,0.01,"UNR.CUAD60.901.1",32272074,60,,"A10171361","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PLAZA SINFONÍA",,"UNC.CUAD60.904.1.4",,32272075,7,0.01,"UNR.CUAD60.904.1.4",32272337,60,,"A10171361","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PLAZA SINFONÍA",,"UNC.CUAD60.907.1",,32272338,7,0.01,"UNR.CUAD60.907.1",32272339,60,,"A10171361","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SUCURSAL VALLE DE BRAVO",,"UNC.CUAD60.901.1",,32271384,1,0.01,"UNR.CUAD60.901.1",32271397,60,,"A10171349","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SUCURSAL VALLE DE BRAVO",,"UNC.CUAD60.907.1",,32271661,7,0.01,"UNR.CUAD60.907.1",32271662,60,,"A10171349","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SUCURSAL VALLE DE BRAVO",,"UNC.CUAD60.904.1.4",,32271398,7,0.01,"UNR.CUAD60.904.1.4",32271660,60,,"A10171349","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SUC LOS CABOS",,"UNC.CUAD.901.1",,31652775,1,0.01,"UNR.CUAD.901.1",31652788,36,,"A07170186","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SUC LOS CABOS",,"UNC.CUAD.904.1.2",,31652438,9,0.01,"UNR.CUAD.904.1.2",31652774,36,,"A07170186","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","SUC LOS CABOS",,"UNC.CUAD.911.1",,31652791,9,0.01,"UNR.CUAD.911.1",31652792,36,,"A07170186","Operativo"
